id	GeneSymbol	logFC	logCPM	PValue	FDR
ENSG00000163885.10	CFAP100	-1.69855963	-2.786622374	0.627133761	1
ENSG00000163900.9	TMEM41A	0.701172592	4.507302239	0.265326328	1
ENSG00000163902.10	RPN1	0.104885539	8.305848228	0.821720955	1
ENSG00000163904.11	SENP2	-0.064640109	4.819007154	0.930385284	1
ENSG00000163913.10	IFT122	-0.433728705	5.382950258	0.465256567	1
ENSG00000163914.4	RHO	-1.71757064	-2.781871654	0.722312719	1
ENSG00000163915.6	IGF2BP2-AS1	1.12094948	-1.964728741	0.29610133	1
ENSG00000163918.9	RFC4	-0.727539065	4.985803234	0.277035064	1
ENSG00000163923.8	RPL39L	-0.39240977	4.036300891	0.601591322	1
ENSG00000163930.8	BAP1	-0.191053523	7.363581658	0.699945375	1
ENSG00000163933.8	RFT1	0.388556504	5.508144277	0.450960023	1
ENSG00000163935.12	SFMBT1	-0.651928329	4.141286469	0.270006851	1
ENSG00000163938.15	GNL3	-0.360402324	6.590747617	0.57453062	1
ENSG00000163939.17	PBRM1	-0.535066873	5.799054869	0.37880591	1
ENSG00000163945.14	UVSSA	-0.064836708	3.875443555	0.931063686	1
ENSG00000163946.12	FAM208A	-0.118207538	5.740537208	0.839413099	1
ENSG00000163950.11	SLBP	0.115171195	5.548451258	0.831908889	1
ENSG00000163956.9	LRPAP1	0.627437	7.029590843	0.230920069	1
ENSG00000163958.12	ZDHHC19	1.523648717	-2.837679161	0.909090909	1
ENSG00000163959.8	SLC51A	0.636376806	0.048914124	0.396806385	1
ENSG00000163960.10	UBXN7	-0.027425003	4.871307472	0.976785686	1
ENSG00000163961.4	RNF168	-0.305597602	5.105792149	0.645311095	1
ENSG00000163964.12	PIGX	-0.158600716	4.142101605	0.81069553	1
ENSG00000163982.5	OTOP1	3.247577326	-2.659492072	0.227596672	1
ENSG00000163995.17	ABLIM2	1.559454206	0.411770868	0.284054467	1
ENSG00000164007.9	CLDN19	-2.777920355	-2.144495915	0.192441752	1
ENSG00000164008.12	C1orf50	0.012583703	2.941898199	0.972973263	1
ENSG00000164010.12	ERMAP	0.340184984	3.565009808	0.560219327	1
ENSG00000164011.16	ZNF691	-0.364107781	3.1111865	0.552694642	1
ENSG00000164022.15	AIMP1	-0.265306968	5.111064795	0.702113682	1
ENSG00000164024.10	METAP1	-0.038441104	5.939049671	0.953218622	1
ENSG00000164031.15	DNAJB14	-0.590185776	4.362812033	0.364368553	1
ENSG00000164032.10	H2AFZ	-0.15227919	8.443529533	0.74996954	1
ENSG00000164035.8	EMCN	-1.731195581	-2.779882722	0.633018344	1
ENSG00000164037.15	SLC9B1	-1.103968844	-2.011946038	0.363117343	1
ENSG00000164038.13	SLC9B2	0.838705631	4.09669331	0.27385227	1
ENSG00000164039.13	BDH2	0.389217293	3.333204631	0.59115301	1
ENSG00000164040.15	PGRMC2	-0.423430206	5.510353691	0.458863109	1
ENSG00000164045.10	CDC25A	-0.279093626	4.835117596	0.701279616	1
ENSG00000164048.12	ZNF589	-0.062924649	3.556148914	0.926892393	1
ENSG00000164049.13	FBXW12	1.416091441	-2.400922869	0.326798307	1
ENSG00000164053.16	ATRIP	-0.223405544	4.15542874	0.718218185	1
ENSG00000164054.14	SHISA5	0.400029019	7.861827915	0.398141415	1
ENSG00000164056.9	SPRY1	-1.097557488	2.7978952	0.248818143	1
ENSG00000164062.11	APEH	0.505530169	7.336085805	0.293231689	1
ENSG00000164066.11	INTU	-0.749394164	3.045033597	0.273690171	1
ENSG00000164068.14	RNF123	0.496502341	5.815403578	0.33011188	1
ENSG00000164070.10	HSPA4L	0.740455221	5.378747391	0.248618928	1
ENSG00000164073.8	MFSD8	-0.089381776	2.906173161	0.911857183	1
ENSG00000164074.13	ABHD18	-0.066564969	2.871543681	0.928940958	1
ENSG00000164077.12	MON1A	0.315531045	4.529396187	0.617187971	1
ENSG00000164080.12	RAD54L2	-0.237530269	5.624116153	0.64851712	1
ENSG00000164081.11	TEX264	0.547578612	5.922941768	0.304860762	1
ENSG00000164087.6	POC1A	-0.449578048	5.116585574	0.45989487	1
ENSG00000164088.16	PPM1M	-0.986249342	3.478291964	0.220182727	1
ENSG00000164089.7	ETNPPL	-1.10351897	-2.838523034	1	1
ENSG00000164091.10	WDR82	-0.088886656	7.204320013	0.856278778	1
ENSG00000164093.14	PITX2	-1.784429607	1.326370429	0.135113569	1
ENSG00000164096.12	C4orf3	0.562306403	5.216997765	0.329921556	1
ENSG00000164104.10	HMGB2	-0.755792929	6.977984807	0.199434402	1
ENSG00000164105.3	SAP30	-0.815734396	3.329473979	0.209764949	1
ENSG00000164109.12	MAD2L1	-0.540519628	5.866958942	0.378333653	1
ENSG00000164111.13	ANXA5	-0.385957325	8.485462299	0.477740061	1
ENSG00000164113.9	ADAD1	-1.100063181	-2.848557381	1	1
ENSG00000164114.17	MAP9	0.63295651	3.101415498	0.479314528	1
ENSG00000164116.15	GUCY1A3	1.055414452	1.776055569	0.361296481	1
ENSG00000164117.11	FBXO8	0.438194402	3.360556608	0.462375627	1
ENSG00000164118.11	CEP44	0.288102816	3.34901151	0.65887963	1
ENSG00000164122.7	ASB5	-3.29322035	-2.500940204	0.185761136	1
ENSG00000164123.6	C4orf45	-5.13E-15	-2.897693815	1	1
ENSG00000164124.9	TMEM144	1.066482696	2.013564249	0.128792268	1
ENSG00000164125.14	FAM198B	-0.901722629	4.115138796	0.520471914	1
ENSG00000164128.5	NPY1R	-0.96169167	-0.708860975	0.467348714	1
ENSG00000164129.10	NPY5R	-5.13E-15	-2.897693815	1	1
ENSG00000164134.11	NAA15	-0.522597116	6.161955561	0.359811089	1
ENSG00000164136.15	IL15	1.008268559	1.403953082	0.307167317	1
ENSG00000164144.13	ARFIP1	-0.142332055	4.248459447	0.833187775	1
ENSG00000164162.11	ANAPC10	0.077762459	2.702891309	0.89854133	1
ENSG00000164163.9	ABCE1	-0.478223135	6.826533865	0.444035883	1
ENSG00000164164.14	OTUD4	-0.230139344	5.720924759	0.718588458	1
ENSG00000164167.8	LSM6	-0.009204147	3.171232716	1	1
ENSG00000164168.6	TMEM184C	0.012755709	4.791824294	0.974190897	1
ENSG00000164169.11	PRMT9	-0.125583866	2.93583157	0.844861993	1
ENSG00000164172.17	MOCS2	-0.722649307	4.619775423	0.291644323	1
ENSG00000164175.13	SLC45A2	-2.104700045	-1.191655007	0.179007202	1
ENSG00000164180.12	TMEM161B	-0.221798431	3.480789889	0.707594422	1
ENSG00000164181.12	ELOVL7	1.29495914	2.601416946	0.136151514	1
ENSG00000164182.9	NDUFAF2	0.374484184	4.531286	0.550040691	1
ENSG00000164187.6	LMBRD2	-0.79881021	3.268109519	0.258208429	1
ENSG00000164188.7	RANBP3L	-1.092121989	-2.587909559	0.652050457	1
ENSG00000164190.15	NIPBL	-0.7214457	5.739600503	0.276933784	1
ENSG00000164209.15	SLC25A46	-0.150219101	5.377273666	0.810197206	1
ENSG00000164211.11	STARD4	0.744703471	3.934115419	0.319691369	1
ENSG00000164219.8	PGGT1B	-0.20610375	3.910234207	0.75670333	1
ENSG00000164221.11	CCDC112	-0.557034424	2.016379888	0.426123395	1
ENSG00000164236.10	ANKRD33B	-0.31934225	4.669024308	0.696580141	1
ENSG00000164237.7	CMBL	0.273739713	4.953500039	0.669029959	1
ENSG00000164241.12	C5orf63	0.610952001	1.761167067	0.456340425	1
ENSG00000164244.19	PRRC1	-0.045417777	5.912348954	0.942182773	1
ENSG00000164251.4	F2RL1	0.418244903	5.48779961	0.686286932	1
ENSG00000164252.11	AGGF1	-0.000137771	4.456578992	0.992578033	1
ENSG00000164253.11	WDR41	0.382381558	4.842028289	0.503875004	1
ENSG00000164256.8	PRDM9	-3.053274696	-1.215966651	0.150560637	1
ENSG00000164258.10	NDUFS4	0.239033902	4.829746216	0.660252664	1
ENSG00000164266.9	SPINK1	-1.349020052	-2.510659239	0.443476193	1
ENSG00000164270.16	HTR4	-1.343115495	-2.562390613	0.664992722	1
ENSG00000164283.11	ESM1	-2.378234476	-0.732085759	0.156478414	1
ENSG00000164284.13	GRPEL2	-0.172080547	4.715316534	0.757144942	1
ENSG00000164291.15	ARSK	0.158830452	2.753373883	0.768098485	1
ENSG00000164296.6	TIGD6	-0.258375854	2.818192389	0.682182188	1
ENSG00000164299.6	SPZ1	-1.103521155	-2.838523034	1	1
ENSG00000164304.14	CAGE1	0.328110298	-2.504142695	1	1
ENSG00000164305.16	CASP3	-0.202898065	4.878370914	0.744937759	1
ENSG00000164306.9	PRIMPOL	-0.445764902	2.63360864	0.490323726	1
ENSG00000164307.11	ERAP1	-0.719233884	4.341907159	0.251167559	1
ENSG00000164308.15	ERAP2	0.882646716	4.47700581	0.443044337	1
ENSG00000164309.13	CMYA5	-1.191574954	-0.877002778	0.207403713	1
ENSG00000164318.16	EGFLAM	1.448453404	2.905369442	0.332755722	1
ENSG00000164323.11	CFAP97	-0.310864447	5.390994122	0.591612205	1
ENSG00000164325.7	TMEM174	1.649800422	-2.817866736	0.909090909	1
ENSG00000164326.4	CARTPT	-5.13E-15	-2.897693815	1	1
ENSG00000164327.11	RICTOR	-0.331352235	4.537492388	0.657242678	1
ENSG00000164329.12	PAPD4	0.212303859	4.376745887	0.699863488	1
ENSG00000164332.7	UBLCP1	-0.307822901	4.628863507	0.601094734	1
ENSG00000164334.14	FAM170A	-5.13E-15	-2.897693815	1	1
ENSG00000164338.8	UTP15	-0.02680498	4.439115974	0.978951242	1
ENSG00000164342.11	TLR3	1.019996137	1.829056415	0.33260022	1
ENSG00000164344.14	KLKB1	-5.13E-15	-2.897693815	1	1
ENSG00000164346.8	NSA2	-0.097220656	6.028940848	0.861154252	1
ENSG00000164347.16	GFM2	0.364374102	4.626785298	0.548259625	1
ENSG00000164363.9	SLC6A18	-5.13E-15	-2.897693815	1	1
ENSG00000164366.3	CCDC127	-0.747948907	5.026623634	0.163620613	1
ENSG00000164385.7	LINC01600	-1.593596862	-2.081008724	0.380934994	1
ENSG00000164393.7	ADGRF2	-0.025426704	-2.34590836	0.998147535	1
ENSG00000164398.11	ACSL6	-0.769851046	0.426844689	0.427039526	1
ENSG00000164399.4	IL3	-5.13E-15	-2.897693815	1	1
ENSG00000164400.5	CSF2	-0.120622082	0.980262186	0.97845452	1
ENSG00000164402.12	SEPT8	0.50200334	6.41386385	0.295810573	1
ENSG00000164403.13	SHROOM1	0.532934184	4.375612226	0.433057357	1
ENSG00000164404.7	GDF9	-0.234723503	-0.855282101	0.786379676	1
ENSG00000164405.9	UQCRQ	0.530303305	6.713266838	0.260769413	1
ENSG00000164406.7	LEAP2	0.16408509	-0.031260144	0.86829625	1
ENSG00000164411.9	GJB7	-0.25679693	-2.53693913	0.91619094	1
ENSG00000164414.15	SLC35A1	0.567900706	2.864461278	0.425230121	1
ENSG00000164418.18	GRIK2	-1.641333284	1.186397064	0.195477139	1
ENSG00000164430.14	MB21D1	-0.946833164	3.367139346	0.268890903	1
ENSG00000164434.10	FABP7	-2.889956161	-2.598924449	0.279177007	1
ENSG00000164440.13	TXLNB	-3.291739017	-2.500354709	0.145944787	1
ENSG00000164451.12	FAM26D	-5.13E-15	-2.897693815	1	1
ENSG00000164458.8	TRUE	-1.116008554	-2.836473991	1	1
ENSG00000164463.11	CREBRF	0.113934451	2.544596366	0.875321521	1
ENSG00000164465.17	DCBLD1	0.407839083	5.368279335	0.510169598	1
ENSG00000164466.11	SFXN1	-0.291891193	6.677048027	0.581476077	1
ENSG00000164483.15	SAMD3	-2.282516277	-2.701957241	0.438613509	1
ENSG00000164485.13	IL22RA2	-1.103522575	-2.838523034	1	1
ENSG00000164494.10	PDSS2	0.299428327	3.449208055	0.590731326	1
ENSG00000164500.6	C7orf72	-1.103523738	-2.838523034	1	1
ENSG00000164506.13	STXBP5	-0.329995828	5.092107085	0.617161773	1
ENSG00000164508.4	HIST1H2AA	-5.13E-15	-2.897693815	1	1
ENSG00000164509.12	IL31RA	-0.32068522	2.080901126	0.743668332	1
ENSG00000164530.12	PI16	0.731323626	-2.515233007	0.651374709	1
ENSG00000164532.10	TBX20	-2.180215897	-2.34719513	0.263360566	1
ENSG00000164535.13	DAGLB	0.299075591	5.414110837	0.601329138	1
ENSG00000164542.11	KIAA0895	0.626282155	2.39514976	0.419811397	1
ENSG00000164543.5	STK17A	0.228529149	5.169676446	0.688676167	1
ENSG00000164548.9	TRA2A	-0.018450823	5.280060667	0.984629039	1
ENSG00000164556.7	FAM183BP	-0.257633783	-2.067912298	1	1
ENSG00000164576.10	SAP30L	0.462774754	4.476057253	0.453679065	1
ENSG00000164591.12	MYOZ3	-2.456700015	-2.254743316	0.175917974	1
ENSG00000164597.12	COG5	-0.2573804	4.814923388	0.693881968	1
ENSG00000164600.5	NEUROD6	-1.103522132	-2.838523034	1	1
ENSG00000164603.10	BMT2	-0.205027352	2.95179774	0.795373764	1
ENSG00000164604.11	GPR85	-1.016662902	-0.017320578	0.3629565	1
ENSG00000164609.8	SLU7	-0.185956716	5.207918915	0.774134793	1
ENSG00000164610.7	RP9	-0.833867721	3.799119432	0.143594984	1
ENSG00000164611.11	PTTG1	0.22466682	6.386324708	0.702380187	1
ENSG00000164615.4	CAMLG	0.178352263	5.22402593	0.76756229	1
ENSG00000164616.13	FBXL21	0.308322009	-2.75005471	1	1
ENSG00000164620.7	RELL2	0.144160471	3.934366957	0.811966363	1
ENSG00000164621.5	SMAD5-AS1	1.228730624	-1.767618174	0.387379189	1
ENSG00000164627.16	KIF6	0.233103008	-0.925787681	0.875706213	1
ENSG00000164631.17	ZNF12	-0.544939879	4.16482885	0.405529276	1
ENSG00000164645.2	TEX47	-5.13E-15	-2.897693815	1	1
ENSG00000164647.7	STEAP1	0.540900502	3.099686614	0.597580221	1
ENSG00000164649.18	CDCA7L	0.694967929	5.440373195	0.40914889	1
ENSG00000164654.14	MIOS	0.361804595	4.532250592	0.533463756	1
ENSG00000164659.13	KIAA1324L	0.819552317	2.475857386	0.537646621	1
ENSG00000164669.11	INTS4P1	0.363539153	0.20615744	0.742388657	1
ENSG00000164674.14	SYTL3	0.398050781	0.611441556	0.664716005	1
ENSG00000164675.9	IQUB	-0.594333463	-2.118715041	0.777305156	1
ENSG00000164684.12	ZNF704	-0.955953779	3.673530476	0.33192905	1
ENSG00000164690.6	SHH	-0.78964834	-2.303158104	0.658489426	1
ENSG00000164708.5	PGAM2	2.806013906	-2.695584717	0.262850672	1
ENSG00000164715.5	LMTK2	-0.076586026	5.387574765	0.89710735	1
ENSG00000164729.7	SLC35G3	-1.73119743	-2.779882722	0.633029326	1
ENSG00000164733.19	CTSB	-0.769242586	10.04648098	0.343001805	1
ENSG00000164736.5	SOX17	-1.103521106	-2.838523034	1	1
ENSG00000164740.5	SEPT7P5	-5.13E-15	-2.897693815	1	1
ENSG00000164741.13	DLC1	-1.61115905	5.616638324	0.148260845	1
ENSG00000164742.13	ADCY1	-0.68004463	3.249584477	0.608852101	1
ENSG00000164743.4	C8orf48	-0.533219688	-0.15932021	0.666895995	1
ENSG00000164746.12	C7orf57	-0.362765582	-1.289614274	0.803815821	1
ENSG00000164749.10	HNF4G	-1.751201345	-0.533080615	0.170621524	1
ENSG00000164751.13	PEX2	-0.499254193	4.461175392	0.476726977	1
ENSG00000164754.11	RAD21	-0.634366809	7.938712361	0.263311231	1
ENSG00000164756.11	SLC30A8	-2.461447128	-2.680680928	0.398542621	1
ENSG00000164758.6	MED30	0.069236129	3.581636066	0.8977914	1
ENSG00000164776.8	PHKG1	-0.836695883	0.075994247	0.277492714	1
ENSG00000164778.4	EN2	-1.661036673	0.463284402	0.517541176	1
ENSG00000164808.15	SPIDR	0.021423245	5.34625237	0.960478295	1
ENSG00000164815.9	ORC5	-0.275430819	4.458033126	0.665666241	1
ENSG00000164816.7	DEFA5	-5.13E-15	-2.897693815	1	1
ENSG00000164818.14	DNAAF5	0.244067257	6.536102969	0.675800951	1
ENSG00000164821.4	DEFA4	-5.13E-15	-2.897693815	1	1
ENSG00000164822.4	DEFA6	-5.13E-15	-2.897693815	1	1
ENSG00000164823.8	OSGIN2	-0.769353968	4.896557062	0.322022248	1
ENSG00000164828.16	SUN1	0.08218138	7.785649576	0.881468471	1
ENSG00000164830.16	OXR1	0.217047464	4.765417148	0.755236059	1
ENSG00000164841.4	TMEM74	-1.552124532	-1.238183169	0.202727279	1
ENSG00000164845.15	FAM86FP	-0.156047258	-1.198292786	0.910591003	1
ENSG00000164849.8	GPR146	-1.41629432	0.656415205	0.207217739	1
ENSG00000164850.13	GPER1	-0.332625521	1.283972666	0.766118182	1
ENSG00000164853.8	UNCX	-5.13E-15	-2.897693815	1	1
ENSG00000164867.9	NOS3	-0.639668879	-0.403351631	0.623853669	1
ENSG00000164871.16	SPAG11B	-5.13E-15	-2.897693815	1	1
ENSG00000164877.17	MICALL2	0.760905139	5.366119653	0.162714701	1
ENSG00000164879.6	CA3	-1.724631707	-1.056498801	0.224327528	1
ENSG00000164880.14	INTS1	-0.129610417	8.1169912	0.841282863	1
ENSG00000164885.11	CDK5	0.081267664	4.842436699	0.879504684	1
ENSG00000164889.11	SLC4A2	-0.605633566	8.305067752	0.307673322	1
ENSG00000164893.7	SLC7A13	-5.13E-15	-2.897693815	1	1
ENSG00000164896.18	FASTK	-0.00169975	6.665210255	0.994169891	1
ENSG00000164897.11	TMUB1	-0.21742065	5.675859987	0.752537592	1
ENSG00000164898.11	FMC1	-0.26083355	3.234814915	0.677404776	1
ENSG00000164900.4	GBX1	-1.290714247	-2.815677989	1	1
ENSG00000164902.12	PHAX	-0.505896395	5.595400047	0.369116435	1
ENSG00000164904.14	ALDH7A1	0.589780483	6.66294967	0.332741556	1
ENSG00000164916.10	FOXK1	-0.054875006	7.104562164	0.935900619	1
ENSG00000164920.8	OSR2	1.018435786	3.132477707	0.372083876	1
ENSG00000164924.16	YWHAZ	0.628069624	9.558104089	0.199682502	1
ENSG00000164930.10	FZD6	0.89300882	5.960247225	0.246384743	1
ENSG00000164933.10	SLC25A32	-0.606071864	5.862127901	0.30338447	1
ENSG00000164934.12	DCAF13	-0.806030836	6.298558621	0.147883398	1
ENSG00000164935.5	DCSTAMP	-1.103523398	-2.838523034	1	1
ENSG00000164941.12	INTS8	-0.821319428	5.002299839	0.153937913	1
ENSG00000164944.10	KIAA1429	-0.727377955	6.152269996	0.218393657	1
ENSG00000164946.18	FREM1	-1.611942776	-2.020730787	0.314516387	1
ENSG00000164951.14	PDP1	-0.143410492	5.118493902	0.808867964	1
ENSG00000164953.14	TMEM67	-0.391697201	2.882195041	0.58795142	1
ENSG00000164961.14	WASHC5	-0.182605809	6.366859081	0.754370157	1
ENSG00000164970.13	FAM219A	0.296618058	5.006734142	0.61042597	1
ENSG00000164972.11	C9orf24	0.10029802	-1.84956676	1	1
ENSG00000164975.14	SNAPC3	-0.58714164	4.456060201	0.404474714	1
ENSG00000164983.7	TMEM65	-0.764349395	4.267013253	0.22485852	1
ENSG00000164989.14	CCDC171	-0.700069295	1.112530132	0.356606865	1
ENSG00000165023.5	DIRAS2	-3.443285828	-2.474437126	0.203416353	1
ENSG00000165029.14	ABCA1	-1.095493021	3.722648257	0.334555915	1
ENSG00000165030.3	NFIL3	-0.172964041	4.07339147	0.801029662	1
ENSG00000165055.14	METTL2B	-0.134815379	5.324336926	0.826351651	1
ENSG00000165059.6	PRKACG	-5.13E-15	-2.897693815	1	1
ENSG00000165060.10	FXN	0.209195582	3.568337704	0.721391343	1
ENSG00000165061.13	ZMAT4	-3.273677237	-2.500766316	0.207885743	1
ENSG00000165066.12	NKX6-3	-5.13E-15	-2.897693815	1	1
ENSG00000165076.12	PRSS37	1.649803897	-2.817866736	0.909090909	1
ENSG00000165078.10	CPA6	-2.822044068	-2.609159999	0.32641597	1
ENSG00000165091.14	TMC1	-1.103523086	-2.838523034	1	1
ENSG00000165092.11	ALDH1A1	-0.276367544	-1.540124908	0.90123296	1
ENSG00000165097.12	KDM1B	-0.198700999	4.382419061	0.761748435	1
ENSG00000165115.13	KIF27	-0.612283207	1.358115894	0.438958713	1
ENSG00000165118.13	C9orf64	-0.234749877	3.948095777	0.867712852	1
ENSG00000165119.17	HNRNPK	0.224704799	9.079497604	0.607561392	1
ENSG00000165120.3	SSMEM1	-2.822345777	-2.607598583	0.28417885	1
ENSG00000165121.10	AL353743.1	-1.477418691	-1.626644319	0.202014686	1
ENSG00000165131.6	C7orf34	0.950713328	-2.48573215	0.677779203	1
ENSG00000165138.15	ANKS6	-0.500394298	5.471865551	0.567745764	1
ENSG00000165140.8	FBP1	1.638623431	-2.190416212	0.430834376	1
ENSG00000165152.7	TMEM246	2.156277263	4.814454235	0.132973891	1
ENSG00000165156.13	ZHX1	-0.912070661	5.670574141	0.207266451	1
ENSG00000165171.9	METTL27	-0.76454046	1.87564836	0.478807926	1
ENSG00000165175.14	MID1IP1	0.367898146	6.209524344	0.608410538	1
ENSG00000165178.9	NCF1C	1.057579507	-2.730544519	0.885336552	1
ENSG00000165181.15	C9orf84	0.104545026	-1.880784798	1	1
ENSG00000165182.9	CXorf58	1.509419474	-2.149552707	0.254141897	1
ENSG00000165188.12	RNF183	-1.235383309	-2.55255241	0.668840296	1
ENSG00000165192.12	ASB11	-3.012148506	-2.567019532	0.269639976	1
ENSG00000165195.12	PIGA	0.243959018	2.875260503	0.749981179	1
ENSG00000165197.4	VEGFD	0.530610364	-2.033948469	0.795826187	1
ENSG00000165202.3	OR1Q1	3.393894762	-2.571699271	0.185317598	1
ENSG00000165204.3	OR1K1	-2.837948105	-2.602517642	0.19643874	1
ENSG00000165209.17	STRBP	-1.027246795	4.152905725	0.143929986	1
ENSG00000165215.6	CLDN3	-1.608951043	-1.143457496	0.26364694	1
ENSG00000165219.20	GAPVD1	-0.137285933	5.91916141	0.805715747	1
ENSG00000165238.15	WNK2	-2.105934726	1.925116815	0.175048022	1
ENSG00000165240.16	ATP7A	-0.467628111	2.936489479	0.515268024	1
ENSG00000165246.11	NLGN4Y	-3.223810743	-2.515387393	0.309055089	1
ENSG00000165259.12	HDX	-0.542416163	1.05299376	0.608521422	1
ENSG00000165264.9	NDUFB6	0.247694188	4.545281587	0.665582878	1
ENSG00000165269.11	AQP7	-1.49572383	-1.135537834	0.226773841	1
ENSG00000165271.15	NOL6	0.307270069	7.504171412	0.580215408	1
ENSG00000165275.8	TRMT10B	-0.562950398	3.043626846	0.373024709	1
ENSG00000165283.14	STOML2	0.629428807	7.704781772	0.233444622	1
ENSG00000165288.10	BRWD3	-0.183529265	3.839707941	0.798416739	1
ENSG00000165300.7	SLITRK5	-1.675736127	3.75555765	0.198849803	1
ENSG00000165304.6	MELK	-0.666212121	5.819386783	0.333094566	1
ENSG00000165309.12	ARMC3	-2.246086018	-2.049162508	0.418885012	1
ENSG00000165322.16	ARHGAP12	-0.023598607	4.137567353	0.983118582	1
ENSG00000165349.10	SLC7A3	1.781285121	-2.583471156	0.414007522	1
ENSG00000165355.7	FBXO33	0.071592791	4.028276827	0.892254659	1
ENSG00000165359.13	INTS6L	-0.019784247	2.855808633	0.990126109	1
ENSG00000165370.1	GPR101	-1.103524081	-2.838523034	1	1
ENSG00000165376.9	CLDN2	0.888176494	-2.123851808	0.581201382	1
ENSG00000165383.9	LRRC18	-5.13E-15	-2.897693815	1	1
ENSG00000165389.6	SPTSSA	0.62065118	5.745795927	0.286008665	1
ENSG00000165392.8	WRN	-0.738085205	4.207986913	0.264023223	1
ENSG00000165409.14	TSHR	-2.283514	-2.269741392	0.277922037	1
ENSG00000165416.13	SUGT1	0.272015442	5.018447583	0.622947698	1
ENSG00000165457.12	FOLR2	-5.13E-15	-2.897693815	1	1
ENSG00000165458.12	INPPL1	0.440690211	7.719856886	0.39473208	1
ENSG00000165462.5	PHOX2A	-1.731197418	-2.779882722	0.633029255	1
ENSG00000165471.6	MBL2	-5.13E-15	-2.897693815	1	1
ENSG00000165475.12	CRYL1	0.570405907	3.605554267	0.418048371	1
ENSG00000165476.11	REEP3	0.525861706	5.604035084	0.374477585	1
ENSG00000165478.6	HEPACAM	-1.290699934	-2.815677989	1	1
ENSG00000165480.14	SKA3	-0.812398667	4.923978736	0.239959949	1
ENSG00000165487.12	MICU2	-0.470269834	4.449302104	0.447947428	1
ENSG00000165494.9	PCF11	-0.579777467	5.403949074	0.294146425	1
ENSG00000165496.4	RPL10L	-2.509276259	-2.669681516	0.45540288	1
ENSG00000165501.15	LRR1	-0.717470929	4.672876253	0.297630265	1
ENSG00000165502.6	RPL36AL	0.427299314	7.060741626	0.420297294	1
ENSG00000165506.13	DNAAF2	-0.06396623	3.703553659	0.927434911	1
ENSG00000165507.8	C10orf10	1.236673476	3.448194099	0.194493421	1
ENSG00000165509.12	MAGEC3	-0.73253747	-2.613962973	0.84413566	1
ENSG00000165512.4	ZNF22	-1.427816717	3.636528149	0.138324231	1
ENSG00000165516.9	KLHDC2	0.084832308	4.561367924	0.876518647	1
ENSG00000165521.14	EML5	0.385851144	2.538955943	0.613630815	1
ENSG00000165525.16	NEMF	-0.938196789	5.40040544	0.144184122	1
ENSG00000165526.7	RPUSD4	0.653170555	5.183440689	0.2504808	1
ENSG00000165527.6	ARF6	0.080906477	7.246758984	0.860660143	1
ENSG00000165533.17	TTC8	0.395187803	4.438169162	0.505930259	1
ENSG00000165553.4	NGB	-2.988269173	-2.572139152	0.25269561	1
ENSG00000165555.8	NOXRED1	0.434089356	-0.976516122	0.584759355	1
ENSG00000165566.12	AMER2	-1.465604938	-2.276099494	0.476589142	1
ENSG00000165568.16	AKR1E2	0.40557848	0.867450355	0.737976188	1
ENSG00000165572.7	KBTBD6	-0.190017292	4.688187598	0.763455013	1
ENSG00000165583.12	SSX5	1.56637039	-2.828661336	0.909090909	1
ENSG00000165584.14	SSX3	-2.186524871	-2.721736821	0.542308057	1
ENSG00000165588.15	OTX2	-2.14422625	-2.727530582	0.734021537	1
ENSG00000165606.7	DRGX	-1.687061948	-1.708587997	0.479535355	1
ENSG00000165609.11	NUDT5	0.189159064	6.141747508	0.710955212	1
ENSG00000165621.7	OXGR1	1.580359061	-2.826589796	0.909090909	1
ENSG00000165623.8	UCMA	-5.13E-15	-2.897693815	1	1
ENSG00000165626.15	BEND7	-0.946133616	2.421239928	0.28829083	1
ENSG00000165629.18	ATP5C1	0.253087591	6.903369984	0.635242554	1
ENSG00000165630.12	PRPF18	-0.103970932	3.575907068	0.874595544	1
ENSG00000165632.7	TAF3	-0.666839406	4.227141414	0.275435635	1
ENSG00000165643.9	SOHLH1	-1.750888573	-2.777895002	0.716538424	1
ENSG00000165650.10	PDZD8	0.128895076	5.500871107	0.800851015	1
ENSG00000165655.15	ZNF503	0.382351321	4.852718569	0.638572056	1
ENSG00000165660.7	FAM175B	-0.311240644	4.455537984	0.618483835	1
ENSG00000165661.14	QSOX2	-0.600136122	6.128684587	0.266104651	1
ENSG00000165669.12	FAM204A	0.574862226	4.369666491	0.310294655	1
ENSG00000165671.17	NSD1	-0.022741445	6.553062445	0.970394488	1
ENSG00000165672.6	PRDX3	0.076237873	6.963519401	0.866212288	1
ENSG00000165675.15	ENOX2	-0.616415649	4.40849077	0.335192106	1
ENSG00000165678.18	GHITM	0.551000037	7.797106146	0.245384437	1
ENSG00000165682.13	CLEC1B	-1.10352666	-2.838523034	1	1
ENSG00000165684.3	SNAPC4	0.479102921	5.232752767	0.411465143	1
ENSG00000165688.10	PMPCA	0.544202549	6.810390908	0.27615455	1
ENSG00000165689.15	SDCCAG3	-0.080581314	6.636086312	0.894188466	1
ENSG00000165694.8	FRMD7	-3.09405045	-2.546696636	0.264821947	1
ENSG00000165695.8	AK8	0.198580739	-0.257583931	0.870694428	1
ENSG00000165698.14	SPACA9	0.168160586	2.591133883	0.806286753	1
